seg_dur,min_pause,hit_rate,eff_rate,sWER,n_files
5,0.1,0.9571,0.9502,0.297,8
5,0.2,0.9738,0.9506,0.32,8
5,0.3,0.9812,0.9508,0.3071,8
5,0.5,0.9834,0.9337,0.309,8
10,0.1,0.9536,0.9461,0.1327,8
10,0.2,0.9726,0.9451,0.1176,8
10,0.3,0.9802,0.9448,0.1172,8
10,0.5,0.9838,0.9278,0.1157,8
15,0.1,0.9538,0.9427,0.0709,8
15,0.2,0.9702,0.9411,0.0657,8
15,0.3,0.9811,0.941,0.0728,8
15,0.5,0.9837,0.9215,0.0723,8
20,0.1,0.9502,0.9412,0.1125,8
20,0.2,0.9672,0.9418,0.1125,8
20,0.3,0.9778,0.9408,0.1075,8
20,0.5,0.9815,0.9214,0.1063,8
30,0.1,0.9454,0.9415,0.1303,8
30,0.2,0.9646,0.9418,0.1203,8
30,0.3,0.9762,0.9416,0.1192,8
30,0.5,0.9816,0.9224,0.1188,8
